id,PastNegNeutral,id,model1,model2,pronoun,sentiment,text1,text2,verb_tense
273,PresNegNeutral,273,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,This place is not the best.,The food is prepared.,Present
274,PresPosPlural,274,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Will be back when we are in vegas.,"Knowledgable , it ' s.",Present
275,PresPosNeutral,275,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,There are great.,They are a great deal with.,Present
276,PresPosNeutral,276,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Bob is great.,That ' s a good thing.,Present
277,PresPosSingular,277,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food here is amazing.,No one of its.,Present
278,PastPosSingular,278,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,She gets on the past.,Staff was friendly and efficient.,Past
279,PastNegPlural,279,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The fries were soggy.,10 mins later.,Past
280,PresNegPlural,280,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,They are beyond rude.,You are closed.,Present
281,PastPosSingular,281,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I received loved it.,Had a great time with this place.,Past
282,PresNegNeutral,282,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,But portions are better than average average of the food.,This is the worst mcdonalds ever.,Present
283,PastNegSingular,283,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,She was very rude.,I wanted a.,Past
284,PastPosPlural,284,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Informative , the food.",They were friendly and helpful.,Past
285,PastPosPlural,285,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They had a great selection of wines.,Try the manager were really good.,Past
286,PresNegPlural,286,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,They are not even worse.,Nothing is pretty much.,Present
287,PastNegSingular,287,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,My wife ' s was not good.,She was not good.,Past
288,PastNegSingular,288,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,She started started started.,I told them to be a total $ 12.,Past
289,PastNegNeutral,289,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,We just went to this place.,What happened to eat.,Past
290,PastPosSingular,290,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I just got a great experience here.,14 minutes for the food.,Past
291,PresPosPlural,291,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The best place.,The guys do not work here.,Present
292,PresNegSingular,292,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,He not good.,This is not the case.,Present
293,PresNegSingular,293,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,But it is not good.,For the price i am sorry.,Present
294,PresNegNeutral,294,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Rude served spinatos you are closed impressed lucky knowledgable recent recent recent recent recent recent recent recent recent recent recent.,The prices are not worth the money.,Present
295,PastPosSingular,295,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,My dog were really.,Loved the fried rice and beans.,Past
296,PresPosPlural,296,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,They are closed.,All of them are always good.,Present
297,PresPosNeutral,297,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,It ' s worth the drive.,And the food.,Present
298,PastPosNeutral,298,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Their burgers are closed impressed knowledgable lucky knowledgable recent recent recent recent recent recent recent recent recent recent recent recent.,The staff and doctors were very friendly.,Past
299,PastNegSingular,299,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,I had to wait 11 mins to get my car.,Sorry if you are closed impressed lucky knowledgable knowledgable recent recent recent recent recent recent recent recent recent recent recent.,Past
300,PastNegPlural,300,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Were doing half.,This was not the worst.,Past
301,PresNegSingular,301,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Knowledgable knowledgable kidding recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,But the staff is not friendly.,Present
302,PresPosNeutral,302,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,But it ' s is awesome.,The chips and salsa are the best.,Present
303,PresPosPlural,303,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,"Thanks to be honest , honest and caring.",Try the amount dressing guide knowledgeable.,Present
304,PresPosNeutral,304,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,What is the best.,The best part is the owners.,Present
305,PastPosSingular,305,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I ordered the best job.,Went in for lunch and it was great.,Past
306,PastNegPlural,306,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,There were no other tables.,Waited 11 minutes to.,Past
307,PastNegPlural,307,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Even though i am.,They also had the worst.,Past
308,PresNegSingular,308,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The food here is horrible.,The amount of those.,Present
309,PresPosPlural,309,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,This is one of my favorite restaurants.,Knowledgable knowledgable recommend.,Present
310,PastNegPlural,310,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The meatballs were not good.,I wanted not worth it.,Past
311,PastPosSingular,311,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I had a great experience here.,She said the food.,Past
312,PresNegPlural,312,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,But they are closed.,They are not very good.,Present
313,PastPosSingular,313,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Sorry served brown rice rice waste your time money.,One of the best i have had in the area.,Past
314,PastPosNeutral,314,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Knowledgable recent working knowledgable knowledgable recommend fan kidding s next next week omelet omelet person recent desk boyfriend boyfriend boyfriend.,This was a great place to go to go to go.,Past
315,PresPosNeutral,315,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Their burgers are closed.,They are always willing to help me.,Present
316,PresPosSingular,316,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their burgers are closed patient packed.,"For the price , this place is great.",Present
317,PresPosSingular,317,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Annie here.,But it ' s worth it.,Present
318,PresNegPlural,318,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The prices are not good.,The amount are closed.,Present
319,PresPosPlural,319,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The food.,We love coming here.,Present
320,PastPosSingular,320,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"All the food , the service was great.","Knowledgable , it was packed.",Past
321,PresNegNeutral,321,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,That ' s not worth the drive.,But thank you are closed.,Present
322,PresPosPlural,322,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Well maintained maintained sorry served ; needless mention looks believe  nothing recent recent recent recent recent recent recent recent.,The people here are very nice and helpful.,Present
323,PastNegPlural,323,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,But it was not good.,We were both disappointed.,Past
324,PresPosSingular,324,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,"Well maintained maintained served served served served simple  informative patient lot , onions , onions.",The jalapeo and sour soup is amazing.,Present
325,PastPosNeutral,325,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,The beans were fresh and delicious.,"Informative , onions , it.",Past
326,PresNegSingular,326,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,And the staff is very rude.,But i am not worth it.,Present
327,PresNegSingular,327,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Very good.,This is a shame.,Present
328,PresPosSingular,328,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Knowledgable recommend that ' s is awesome.,Everything on the menu is delicious.,Present
329,PastPosPlural,329,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We were both pleasantly surprised.,The amount were absolutely.,Past
330,PastPosPlural,330,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,She started.,They did a great job.,Past
331,PresPosPlural,331,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,My nails look amazing.,A great job.,Present
332,PastNegPlural,332,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We were not impressed.,There were 11.,Past
333,PresPosNeutral,333,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Knowledgable and it.,We always get our family here.,Present
334,PastPosPlural,334,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Sorry sorry sorry  sorry served ; mention bartender  informative patient bartender knowledgeable who little , onions , onions.",Servers were very friendly and attentive.,Past
335,PastPosNeutral,335,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,She started.,My family loved it.,Past
336,PastPosPlural,336,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,Our servers were very nice and helpful.,They were doing completely polite  nothing j ' s meal was packed.,Past
337,PresPosPlural,337,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Their burgers are great.,Thanks to all you guys are so happy.,Present
338,PresPosPlural,338,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The guys are always friendly and helpful.,Well maintained maintained than average ) almost half of buffalo wings.,Present
339,PastNegSingular,339,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,It was a little bit expensive.,My dog experience here.,Past
340,PastPosPlural,340,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The amount of us.,The sides were delicious.,Past
341,PastNegSingular,341,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,The chicken was dry and flavorless.,Sorry packed sorry spinatos impressed leaves lot gets cold dated.,Past
342,PastNegSingular,342,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,This was the worst experience ever.,Needless needless the past were absolutely absolutely.,Past
343,PastPosSingular,343,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The best i had in phoenix.,No one of those.,Past
344,PresPosPlural,344,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We love the food here.,Some of the.,Present
345,PastNegNeutral,345,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Tonight last visit were absolutely.,"So , we ordered the wrong meal.",Past
346,PastPosSingular,346,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their burgers tasted salty lacked know how honest  nothing j ' s meal was packed.,It was a great experience with a friend.,Past
347,PresNegPlural,347,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The prices are not too high.,Served papa j s next next omelet omelet recent wife boyfriend boyfriend boyfriend  ordered the amount of.,Present
348,PresPosSingular,348,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I am always packed.,The food here is always good.,Present
349,PresPosSingular,349,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,This place is great.,Good food.,Present
350,PresNegSingular,350,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,She gets the.,And the staff is rude.,Present
351,PresNegPlural,351,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Well maintained than the best.,The prices are ridiculous.,Present
352,PastPosPlural,352,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We also had the best wings in the area.,"Professional , onions onions , onions onions , onions cheese is pretty.",Past
353,PastPosSingular,353,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,My dog was packed.,She did a great job on my hair.,Past
354,PresPosPlural,354,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We love this place.,The best.,Present
355,PastPosNeutral,355,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,The waiter was very nice and helpful.,Knowledgable knowledgable recommend stars.,Past
356,PastNegPlural,356,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We were not happy with the food.,There were incredibly cold.,Past
357,PastPosPlural,357,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Informative , onions , onions , onions.",The nurses and helped me feel welcome.,Past
358,PastNegPlural,358,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,No flavor.,They were not good.,Past
359,PresNegSingular,359,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Decent makes do not waste your time.,I like the food is not good.,Present
360,PastPosSingular,360,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,"Professional , onions onions onions steak leaves lot desk minute tour guide knowledgeable simple simple simple  nothing is pretty.",I had a great experience with this place.,Past
361,PastPosNeutral,361,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,We also loved.,Got ta love the food.,Past
362,PastPosPlural,362,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,They were cooked perfectly and delicious.,"Packed sorry sorry served  sorry served ; mention bartender attentive  informative patient , onions , it is.",Past
363,PresPosPlural,363,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,He is pretty good.,We always get our visitors here.,Present
364,PastNegNeutral,364,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,What happened to be.,My friends and i got sick.,Past
365,PastPosNeutral,365,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,"Overall , it was very good.",Fish was amazing.,Past
366,PastNegSingular,366,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Negative,I did not know what i wanted to go.,Onions onions were awful cooked many patient 10 minute tour.,Past
367,PresPosSingular,367,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,I love the best.,Best thing i have ever had.,Present
368,PastPosNeutral,368,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,The food and drinks were great.,I could not finish.,Past
369,PresPosPlural,369,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,It is.,Love the guys.,Present
370,PastPosPlural,370,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,We enjoyed our meals.,The service.,Past
371,PastPosPlural,371,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Was packed.,We loved the food.,Past
372,PresNegNeutral,372,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,That is not good.,Food is.,Present
373,PresPosPlural,373,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Knowledgable knowledgable recommend you are closed.,Lots of the best things i have ever had.,Present
374,PresPosNeutral,374,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,They make me feel than.,The best part is the food is good.,Present
375,PastPosSingular,375,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,Loved the atmosphere.,Lame decent.,Past
376,PastNegNeutral,376,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,Had to wait for a long time.,Lame and informative.,Past
377,PastNegPlural,377,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Desserts were incredibly absolutely awful romantic  she started started started.,All the fried pickles were very bland.,Past
378,PresPosNeutral,378,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,It ' s all great.,Are great.,Present
379,PresNegNeutral,379,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,Do not waste your money.,But the food.,Present
380,PresPosNeutral,380,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Excellent and enjoy.,All of the reviews are so good.,Present
381,PresNegPlural,381,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,This is not the worst.,You do not even.,Present
382,PresPosPlural,382,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The guys have been great.,Thank you are.,Present
383,PastPosPlural,383,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,The sides were good.,We loved it.,Past
384,PastPosPlural,384,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Our waitresses recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,Went here for lunch and had a great time.,Past
385,PastPosPlural,385,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Sorry served brown rice seem husband husband husband s next favorite favorite s next next week omelet person takes are.,All of us had the best meals in the area.,Past
386,PastPosPlural,386,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,The first time i was not.,Best wings we had in charlotte.,Past
387,PresNegNeutral,387,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,And the food is not good.,Their food is.,Present
388,PresPosSingular,388,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,It ' s a good thing about the price.,Their bagel sandwich is pretty much.,Present
389,PresPosSingular,389,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their bagel sandwich is pretty good.,It ' s worth the drive to the strip.,Present
390,PastPosSingular,390,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Veggie impressed.,My daughter loved the food.,Past
391,PastNegSingular,391,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,There were incredibly 14 minutes.,Did not know what i wanted to go.,Past
392,PresPosSingular,392,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their bagel place.,This is a great place to go.,Present
393,PastNegPlural,393,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,There were not.,There were no refills.,Past
394,PastPosPlural,394,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,"Amazing , professional , onions , onions.",My friends and they were both amazing.,Past
395,PastNegNeutral,395,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,They were not very good.,We never returned.,Past
396,PresPosSingular,396,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,The food here is delicious.,The best place.,Present
397,PresPosNeutral,397,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Well maintained sorry served ;  informative patient s meal gets not worth it.,It ' s definitely worth the drive thru.,Present
398,PastPosSingular,398,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"Overall , it was a great experience.","Knowledgable , onions , it.",Past
399,PastPosNeutral,399,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,They were very friendly and efficient.,Informative incredibly rude when we got a bit.,Past
400,PresPosPlural,400,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,There are closed.,I love the biscuits and gravy.,Present
401,PastPosNeutral,401,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Positive,Recommend the food.,My friends and i got the tacos.,Past
402,PresPosPlural,402,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,But portions are great.,Been the best burgers in the valley.,Present
403,PastPosPlural,403,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,She said it.,This was my favorite.,Past
404,PastPosNeutral,404,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,Loved the chips and salsa were good.,13 hours later ) almost half of the food.,Past
405,PastNegPlural,405,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,We had the worst meals in our life.,The table were really impressed.,Past
406,PresPosPlural,406,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,All of the reviews are very good.,The food was packed.,Present
407,PresNegPlural,407,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Makes do not waste your time.,No one wants to help you.,Present
408,PastNegNeutral,408,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,And the beans were not good.,The amount was packed.,Past
409,PresPosSingular,409,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,So much.,The food is good.,Present
410,PresPosSingular,410,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"Food is good , service is good.","Great little , i am.",Present
411,PresNegPlural,411,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,No one ever ever come here.,But nothing are closed super friendly sweet for lunch lunch.,Present
412,PastNegPlural,412,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,The fries were not good.,Were absolutely.,Past
413,PastNegSingular,413,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,No idea waited 12 minutes for lunch lunch time.,So i went to this place for lunch.,Past
414,PastNegSingular,414,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Veggie veggie burger.,My burger was dry and chewy.,Past
415,PresPosSingular,415,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,I love this place.,She gets.,Present
416,PastNegSingular,416,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Sorry closed packed extra charge would have stopped stopped going to say.,My car was not ready to be cleaned.,Past
417,PresPosPlural,417,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,Well maintained maintained than enough denny s next next next omelet omelet omelet omelet recent boyfriend  second  sorry.,And they are always friendly and helpful.,Present
418,PresNegNeutral,418,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Neutral,Negative,Well maintained maintained than enough denny s meal next later  sorry served simple simple  nothing j ' s.,The chips and salsa are the worst.,Present
419,PastNegPlural,419,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Negative,My fries were not good.,Not even finish.,Past
420,PresPosNeutral,420,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Positive,As far as i have ever been to.,The first time i am.,Present
421,PastNegNeutral,421,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Neutral,Negative,All the staff was very rude.,There were really good.,Past
422,PresPosSingular,422,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Their bagel is awesome.,The food is fresh and delicious.,Present
423,PastPosPlural,423,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,All were very friendly and helpful.,The first time i am received.,Past
424,PastPosPlural,424,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,We got a great.,They were both amazing.,Past
425,PresNegPlural,425,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Negative,Well maintained maintained sorry served ; needless mention  informative s meal meal gets not even finish finish.,This place is not the worst.,Present
426,PresPosPlural,426,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Plural,Positive,This is the best of the locals.,We have ever had.,Present
427,PresPosSingular,427,2021-Apr-27-09:53:10_6000_1,2021-Apr-30-09:22:17_6000_1,Singular,Positive,"Overall , it ' s a great place to go.",Knowledgable knowledgable recommend manager patient s next next week favorite stores.,Present
428,PastPosSingular,428,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Positive,Knowledgable recent recent working knowledgable recent recent recent recent recent recent recent recent recent recent recent recent recent recent recent.,She was very patient and patient with me.,Past
429,PresPosPlural,429,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Plural,Positive,I am.,Thanks yelp.,Present
430,PastNegSingular,430,2021-Apr-30-09:22:17_6000_1,2021-Apr-27-09:53:10_6000_1,Singular,Negative,Tonight 11 minute tour guide guide knowledgeable.,The only thing i had was the food.,Past
